Which SQL statement is used to extract data from a database?,GET,EXTRACT,FETCH,SELECT,SELECT,memory,easy
Which SQL keyword is used to sort the result-set?,SORT BY,ORDER BY,ARRANGE BY,ALIGN BY,ORDER BY,understanding,medium
Which SQL keyword is used to delete data from a database?,REMOVE,DELETE,DESTROY,ERASE,DELETE,memory,easy
 What SQL clause is used to filter the results of a query?,FILTER BY,FILTER BY,WHERE,LOCATE,WHERE,understanding,easy
Which SQL function returns the number of rows in a query?,NUM,COUNT,SUM,TOTAL,COUNT,memory,easy
Which SQL keyword gives a nickname to a table (typically for the purpose of a join)?,NICKNAME, AS,ALIAS,CALL,ALIAS,understanding,hard
What type of SQL command is INSERT INTO?,Data Definition Language,Data Manipulation Language, Data Control Language,Transaction Control Language,Data Manipulation Language,understanding,medium
 Which command is used to remove a table from a database?,REMOVE, ERASE,DROP, DELETE,DROP,memory,easy
"In SQL, which command is used to make changes made by a transaction permanent in a database?",SAVE,SAVEPOINT,COMMIT,HOLD,COMMIT,understanding,hard
What will the SQL query SELECT * FROM Users WHERE FirstName = ‘John’ AND LastName = ‘Doe’; return?,All users with the first name 'John'.,All users with the last name 'Doe'.,All users with the first name 'John' or the last name 'Doe'.,All users with the first name 'John' and the last name 'Doe'.,All users with the first name 'John' and the last name 'Doe'.,understanding,medium
What is the default sort order of the ORDER BY clause in SQL?,Descending, Ascending, Random,Hierarchical, Ascending,memory,medium
Which SQL statement is used to update data in a database?,MODIFY,REVISE,CHANGE,UPDATE,UPDATE,memory,easy
Which SQL function calculates the total sum of a numeric column?,SUMMARIZE,TOTAL,COUNT,SUM,SUM,memory,easy
What does the SQL LIKE operator do?, Compares two values for equality,Finds rows that match a specified pattern,Calculates the sum of values,Sorts result in ascending or descending order,Finds rows that match a specified pattern,understanding,hard
Which SQL clause is used to group rows that have the same values in specified columns?,GROUP BY,ORDER BY,PARTITION BY,SORT BY,GROUP BY,memory,medium
What does SQL stand for?,Structured Question Language,Simple Query Language,Structured Query Language,System Query Language,Structured Query Language,understanding,medium
" In SQL, which operator is used to test for a value within a range of values?",IN, BETWEEN,LIKE,CONTAINS, BETWEEN,understanding,easy
"Which SQL statement is used to add, modify, or drop columns in a table?",MODIFY TABLE,CHANGE TABLE,ALTER TABLE,UPDATE TABLE,ALTER TABLE,memory,easy
What is the purpose of the SQL DISTINCT keyword?,To sort results,To remove duplicates,To update records,To join tables,To remove duplicates,understanding,hard
Which SQL command creates a new database?,NEW DATABASE,ADD DATABASE,CREATE DATABASE,INIT DATABASE,CREATE DATABASE,understanding,easy
Which SQL statement is used to return only different values?,SELECT UNIQUE,SELECT DIFFERENT,SELECT DISTINCT,SELECT SEPARATE,SELECT DISTINCT,memory,hard
" In SQL, which command is used to roll back a transaction?",REVERT,UNDO, ROLLBACK,RESET, ROLLBACK,memory,medium
Which SQL function returns the highest value in a column?, MAX,HIGH,UP,TOP, MAX,understanding,easy
What is the SQL keyword used to retrieve a maximum of 5 records from a table?,TOP 5,FIRST 5,BEST 5,LEADING 5,TOP 5,memory,hard
What does the SQL NULL value represent?, Zero,Empty string,Undefined or missing data,FALSE,Undefined or missing data,understanding,easy
Which SQL clause allows filtering AFTER the GROUP BY clause has been applied?,FILTER BY,WHERE,HAVING,AFTER,HAVING,understanding,medium
 What SQL keyword is used to introduce an alias?, INTRODUCE,AS,ALIAS FOR,NAME,AS,memory,easy
Which SQL keyword combines the result of two or more SELECT statements?,COMBINE, UNION,JOIN,MERGE, UNION,memory,easy
What is the main difference between UNION and UNION ALL?,UNION ALL allows duplicate records.,UNION requires the same number of columns in each SELECT statement,UNION ALL can only be used with two SELECT statements.,UNION allows different data types in the SELECT statements.,UNION ALL allows duplicate records.,understanding,hard
Which SQL statement is used to create a stored procedure in a database?,CREATE STORED PROCEDURE,ADD PROCEDURE, DEFINE PROCEDURE,MAKE PROCEDURE,CREATE STORED PROCEDURE,memory,easy
"In SQL, how do you select all the records from a table named “Users” where the “FirstName” column is not empty?",SELECT * FROM Users WHERE FirstName = '',SELECT * FROM Users WHERE FirstName != '', SELECT * FROM Users WHERE FirstName IS NOT NULL,SELECT * FROM Users WHERE FirstName EXISTS, SELECT * FROM Users WHERE FirstName IS NOT NULL,understanding,medium
Which SQL function returns the smallest value of the selected column?,LEAST,MINIMUM, MIN,SMALL, MIN,understanding,easy
What type of SQL command is GRANT?,Data Definition Language,Data Manipulation Language, Data Control Language,Transaction Control Language, Data Control Language,understanding,medium
 Which SQL statement is used to delete a table definition and all its data?,DELETE TABLE, DROP TABLE,REMOVE TABLE,TRUNCATE TABLE, DROP TABLE,memory,easy
What does the TRUNCATE TABLE statement do in SQL?,Deletes only the table data but not its schema, Deletes the table definition,Modifies the table data type,Makes a copy of the table,Deletes only the table data but not its schema,understanding,hard
Which SQL clause specifies a condition while fetching data from a single table or by joining multiple tables?,AND,ALIAS,WHERE,ON,ON,memory,medium
Which type of SQL join returns only the rows where there is a match in both the left and the right table?, INNER JOIN, LEFT JOIN, LEFT JOIN,FULL JOIN, INNER JOIN,memory,easy
" If you use a LEFT JOIN between two tables, which of the following statements is true?",It retrieves only the matched records from both tables., It retrieves all the records from the left table and the matched records from the right table.,It retrieves all the records from the right table and the matched records from the left table., It retrieves all the records from both tables regardless of a match., It retrieves all the records from the left table and the matched records from the right table.,understanding,medium
What does a FULL JOIN do in SQL?,Returns only the rows where there is a match in one of the tables.,Returns all the rows when there is a match in one of the tables.,Returns only the rows where there is a match in both tables.,Returns all rows from both tables and puts NULL in the columns from the table that doesn’t have a match.,Returns all rows from both tables and puts NULL in the columns from the table that doesn’t have a match.,understanding,easy
"If you perform a CROSS JOIN between a table with 5 rows and a table with 8 rows, how many rows will the result set contain?",13,40,3,8,40,understanding,hard
Which SQL command is used to enter data into a database?,INSERT,SELECT,UPDATE,DELETE,INSERT,memory,easy
Which SQL statement is used to remove a table from the database?,DELETE TABLE,DROP TABLE,REMOVE TABLE, CLEAR TABLE,DROP TABLE,memory,easy
Which keyword is used to sort the result set in ascending order?,SORT,ORDER,ORDER BY,SORT BY,ORDER BY,memory,easy
How can you fetch unique values from a column?,UNIQUE,DISTINCT,SINGLE,UNO,DISTINCT,understanding,medium
"Here which of the following displays the unique values of the column?

   SELECT ________ dept_name 
   FROM instructor;",All,From,Distinct,Name,Distinct,example,medium
The ______ clause allows us to select only those rows in the result relation of the ____ clause that satisfy a specified predicate.,"Where, from"," From, select","Select, from","From, where","Where, from",fill ups,medium
The ________ clause is used to list the attributes desired in the result of a query,Where ,Select ,From ,Distinct,Select ,fill ups,easy
"This Query can be replaced by which one of the following?

   SELECT name, course_id
   FROM instructor, teaches
   WHERE instructor_ID= teaches_ID;","Select name,course_id from teaches,instructor where instructor_id=course_id;","Select name, course_id from instructor natural join teaches;","Select name, course_id from instructor;", Select course_id from instructor join teaches;,"Select name, course_id from instructor natural join teaches;",example,hard
"SELECT * FROM employee WHERE salary>10000 AND dept_id=101;
Which of the following fields are displayed as output?","Salary, dept_id", Employee,Salary,All the field of employee relation,All the field of employee relation,example,medium
"Employee_id	Name	Salary
1001	              Annie	6000
1009	              Ross	4500
1018	              Zeith	7000
This is Employee table.
Which of the following employee_id will be displayed for the given query?
SELECT * FROM employee WHERE employee_id>1009;","1009, 1001, 1018"," 1009, 1018", 1001,1018,1018,example,easy
Which of the following statements contains an error?,Select * from emp where empid = 10003;,Select empid from emp where empid = 10006;,Select empid from emp;,Select empid where empid = 1009 and lastname = ‘GELLER’;,Select empid where empid = 1009 and lastname = ‘GELLER’;,understanding,hard
 ’_ _ _ ’ matches any string of ______ three characters. ’_ _ _ %’ matches any string of at ______ three characters.,"Atleast, Exactly","Exactly, Atleast","Atleast, All","All, Exactly","Exactly, Atleast",fill ups,hard
"Fill in the blank with the most appropriate word or phrase from the options provided.

A database management system (DBMS) is a collection of tools to handle the creation, manipulation, and retrieval of data stored in a(n) __________.", application,spreadsheet,database,document,database,fill ups,medium
Which SQL statement is used to insert a new record in a table?,INSERT NEW,NSERT INTO,ADD INTO,ADD RECORD,NSERT INTO,memory,easy
What type of JOIN returns only rows when there is at least one match in both tables?,LEFT JOIN,INNER JOIN,RIGHT JOIN,FULL JOIN,INNER JOIN,understanding,easy
Which MySQL function can be used to return the length of a string?,LENGTH(),SIZE(),STRLEN(),COUNT(),LENGTH(),understanding,medium
" In MySQL, which command is used to return the version of the MySQL server?",SELECT VERSION();,GET VERSION();,SELECT MYSQLVERSION();,SELECT SERVER();,SELECT VERSION();,memory,hard
Which SQL statement is used to update data in a database?,REFRESH,MODIFY,REPLACE,UPDATE,UPDATE,memory,easy
Which of the following is not a valid SQL data type?,FLOAT,CHAR,SINGLE,DECIMAL,SINGLE,understanding,medium
"SELECT instructor.*
FROM instructor, teaches
WHERE instructor.ID= teaches.ID;
This query does which of the following operation?",All attributes of instructor and teaches are selected,All attributes of instructor are selected on the given condition,All attributes of teaches are selected on given condition,Only the some attributes from instructed and teaches are selected,All attributes of instructor are selected on the given condition,example,hard
In SQL the spaces at the end of the string are removed by _______ function.,UPPER,STRING,TRIM,LOWER,TRIM,fill ups,medium
The union operation is represented by, ?,U, –,*,U,memory,easy
Which of the following is used to make a column’s value automatically increase for each new record?, AUTOINCREMENT,AUTOADD,INCREMENTAL,ADDAUTO, AUTOINCREMENT,understanding,medium
How do you select all columns from a table named “students”?,SELECT * INTO students;,SELECT students.*;, SELECT ALL FROM students;,SELECT * FROM students;,SELECT * FROM students;,understanding,easy
Which SQL function is used to round a number?,ROUND,RND,CIRCLE,LOOP,ROUND,memory,medium
Which of the following is not an SQL aggregate function?,COUNT(),MAX(),CONCAT(),SUM(),CONCAT(),understanding,easy
 The intersection operator is used to get the _____ tuples.,DIFFERENT,COMMON,ALL,REPEATING,COMMON,fill ups,medium
 Which keyword defines a primary key constraint on a table in MySQL?,PRIMARY,UNIQUE,MAIN,PRIMARY KEY,PRIMARY KEY,memory,easy
What is the maximum length of a table name in MySQL?,64 characters,128 characters,256 characters,512 characters,64 characters,memory,hard
Which MySQL function returns the smallest integer value not less than a number?,CEILING(),FLOOR(),ROUNDUP(),TOP(),CEILING(),understanding,hard
Which storage engine in MySQL supports transactions?,MEMORY,MERGE,InnoDB,MyISAM,InnoDB,understanding,hard
The union operation automatically __________ unlike the select clause.,Adds tuples, Eliminates unique tuples,Adds common tuples,Eliminates duplicate,Eliminates duplicate,fill ups,easy
"In the given query which of the keyword has to be inserted?

INSERT INTO employee _____ (1002,Joey,2000);", Table,Values,Relation,Field,Values,fill ups,medium
In which language MYSQL is written?, PYTHON, C/C+, JAVA, COBOL, C/C+,memory,medium
To see the list of options provided by MYSQL which of the following command is used?,HELP,–HELP, -- HELP, ELP-, -- HELP,understanding,hard
What do you mean by HOST in MYSQL?, HOST is the user name., HOST is the representation of where the MYSQL server is running.,HOST is the administration’s machine name.,NONE, HOST is the representation of where the MYSQL server is running.,understanding,medium
"SELECT name ____ instructor name, course id
FROM instructor, teaches
WHERE instructor.ID= teaches.ID;
Which keyword must be used here to rename the field name?",From, Rename,As,Join,As,memory,easy
"SELECT * FROM employee WHERE dept_name=""Comp Sci"";
In the SQL given above there is an error . Identify the error.",Dept_name,Employee, “Comp Sci”, From, “Comp Sci”,understanding,medium
