 Which keyword is used to inherit a class in C++?, extends, implements, inherits, public/private/protected, public/private/protected,memory,easy
Which type of inheritance leads to the diamond problem in C++?, Single Inheritance,Multilevel Inheritance, Multiple Inheritance,d) Hierarchical Inheritance,Multiple Inheritance,understanding,hard
What is the type of inheritance where one class inherits from multiple classes?,ÿSingle Inheritance,Multilevel Inheritance,ÿMultiple Inheritance,Hierarchical Inheritance, Multiple Inheritance,memory,easy
"By default, the members of the base class are _____ in the derived class.",private,ÿpublic,protected,None of the above,private,fill ups,medium
Which of the following can be inherited from the base class?,Public members only,Private members only,Both public and protected members,"All members (public, protected, and private)", Both public and protected members,understanding,medium
What is Inheritance in C++?,Wrapping of data into a single class,Deriving new classes from existing classes,Overloading of classes,ÿClasses with same names,Deriving new classes from existing classes,understanding,easy
How many specifiers are used to derive a class?,1,2,3,4,3,memory,hard
What is the process of defining a new class based on an existing class in C++ called?,ÿInheritance,Composition,Encapsulation,Polymorphism,ÿInheritance,memory,easy
Which specifier makes all the data members and functions of base class inaccessible by the derived class?,private,protected,public,both private and protected,private,memory,easy
ÿIf a class is derived privately from a base class then __________________________,no members of the base class is inherited,all members are accessible by the derived class,all the members are inherited by the class but are hidden and cannot be accessible,ÿno derivation of the class gives an error,all the members are inherited by the class but are hidden and cannot be accessible,fill ups,medium
"What will be the output of the following C++ code?                              #include <iostream>
#include <string>
using namespace std;
class A
{
	int a, b;
	float d;
   public:
	void change(int i){
		a = i;
	}
	void value_of_a(){
		cout<<a;
	}
};
 
class B: private A
{
 
};
 
int main(int argc, char const *argv[])
{
	B b;
	cout<<sizeof(B);
	return 0;
}",8,12,error,segmentation fault,12,example,hard
"What will be the output of the following C++ code?

#include <iostream>
#include <string>
using namespace std;
class A
{
	float d;
    public:
	int a;
	void change(int i){
		a = i;
	}
	void value_of_a(){
		cout<<a;
	}
};
 
class B: public A
{
	int a = 15;
    public:
	void print(){
		cout<<a;
	}
};
 
int main(int argc, char const *argv[])
{
	B b;
	b.change(10);
	b.print();
	b.value_of_a();
 
	return 0;
}",Hello this is class A,Hello this is class B,error,segmentation fault,Hello this is class B,example,medium
Which statement is incorrect about virtual function.,ÿThey are used to achieve runtime polymorphism,They are used to hide objects,Each virtual function declaration starts with the virtual keyword,All of the mentioned,They are used to hide objects,understanding,medium
The concept of deciding which function to invoke during runtime is called ______________________,ÿlate binding,dynamic linkage,static binding,both late binding and dynamic linkage,both late binding and dynamic linkage,fill ups,hard
What is a pure virtual function?,ÿA virtual function defined inside the base class,A virtual function that has no definition relative to the base class,ÿA virtual function that is defined inside the derived class,Any function that is made virtual,A virtual function that has no definition relative to the base class,memory,easy
The ?????. inherits some or all of the properties of the ???.. class.,"base, derived","derived, base","derived, initial","base, final","derived, base",fill ups,easy
"When the inheritance is private, the private methods in base class are __________ in the derived class (in C++).",inaccessible,accessible,protected,public,inaccessible,fill ups,easy
Which design patterns benefit from the multiple inheritances?,Adapter and observer pattern,Code pattern,Glue pattern,None of the mentioned,Adapter and observer pattern,memory,hard
ÿWhat is meant by multiple inheritance?,Deriving a base class from derived class,Deriving a derived class from base class,Deriving a derived class from more than one base class,None of the mentioned,Deriving a derived class from more than one base class,memory,medium
"What will be the order of execution of base class constructors in the following method of inheritance.class a: public b, public c {...};",ÿb(); c(); a();,ÿc(); b(); a();,a(); b(); c();,ÿb(); a(); c();,b(); c(); a();,understanding,easy
Inheritance allow in C++ Program?,Class Re-usability,Creating a hierarchy of classes,Extendibility,All of the above,All of the above,memory,easy
Can we pass parameters to base class constructor though derived class or derived class constructor?,yes,no,maybe,can't say,yes,understanding,medium
ÿWhat are the things are inherited from the base class?,Constructor and its destructor,Operator=() members,Friends,All of the above,All of the above,understanding,hard
Which of the following advantages we lose by using multiple inheritance?,Dynamic binding,Polymorphism,Both Dynamic binding & Polymorphism,None of the mentioned,Both Dynamic binding & Polymorphism,memory,hard
"What is the output of this program?

         
Note:Includes all required header files
 using namespace std;
  class Base
    {
        public:
            Base(){}
            ~Base(){}
            protected:
            private: 
    };
    class Derived:public Base
    {
        public:
            Derived(){}
            Derived(){}
            private:
            protected:
    };
  int main()
  {
     cout << ""Executed"" << endl;
  } ",executed,error,runtime error,None of the above,error,example,medium
"What is the output of this program?

         
Note:Includes all required header files

    using namespace std;
    int main() 
    {
        string s = ""a long string"";
        s.insert(s.size() / 2, "" * "");
        cout << s << endl;
        return 0;
    }",long* string,a long st*ring,Depends on compiler,None of the mentioned,Depends on compiler,example,hard
"What is the output of this program?

        
Note:Includes all required header files 
          
using namespace std;
struct a
 {
    int p;
 };
struct b
 {
    int* x;
 };
struct c : public a, public b
 {
 };
int main()
 {
    c* p = new c;
    p->x = 0;
    cout << ""Inherited"";
    return 0;
 } ",inherited,error,runtime error,None of the above,inherited,understanding,easy
"What is the output of this program?

        
Note:Includes all required header files

using namespace std;
 
class Base1 {
 public:
     Base1()
     { cout << "" Base1"" << endl;  }
};
  
class Base2 {
 public:
     Base2()
     { cout << ""Base2"" << endl;  }
};
  
class Derived: public Base1, public Base2 {
   public:
     Derived()
     {  cout << ""Derived"" << endl;  }
};
  
int main()
{
   Derived d;
   return 0;
}
  ",ÿCompiler Dependent,Base1 Base2 Derived,Base2 Base1 Derived,ÿCompiler Error,Base1 Base2 Derived,understanding,medium
"Which of the following is true about the following program

           
Note:Includes all required header files
using namespace std;
   class Base1 {
 public:
     ~Base1()  { cout << "" Base1"" << endl; }
};
   
class Base2 {
 public:
     ~Base2()  { cout << "" Base2"" << endl; }
};
   
class Derived: public Base1, public Base2 {
   public:
     ~Derived()  { cout << "" Derived"" << endl; }
};
   
int main()
{
   Derived d;
   return 0;
} ",Base1 Base2 Derived,Derived Base2 Base1,Derived,Compiler Dependent,Derived Base2 Base1,example,easy
"Assume that an integer takes 2 bytes and there is no alignment in following classes, predict the output.

        
Note:Includes all required header files
using namespace std;
    class base {
    int arr[15];
};
 
class b1: public base { };
 
class b2: public base { };
 
class derived: public b1, public b2 {};
 
int main(void)
{
  cout << sizeof(derived);
  return 0;
}",30,60,0,120,120,example,medium
"What will be the output of this program?

#include <iostream>

using namespace std;
class Base {};
class Derived: public Base {};
 
int main()
{
    Base *p = new Derived;
    Derived *q = new Base;
}","error: invalid conversion from ""Derived*"" to ""Base*""",No Compiler Error,"error: invalid conversion from ""Base*"" to ""Derived*""",Runtime Error,"error: invalid conversion from ""Base*"" to ""Derived*""",memory,easy
"What will be the output of the following program?

#include <iostream>

using namespace std;
   class Base
{
public:
    int lfc()  { cout << ""Base::lfc() called""; }
    int lfc(int i)  { cout << ""Base::lfc(int i) called""; }
};
 
class Derived: public Base
{
public:
    int lfc() {  cout << ""Derived::lfc() called""; }
};
 
int main()
{
    Derived d;
    d.lfc(5);
    return 0;
}",Base::lfc(int i) called,Derived::lfc() called,Base::lfc() called,Compiler Error,Compiler Error,example,hard
"State whether the following statements about inheritance are True or False. i) A public member of a class can be accessed by its own objects using the dot operator. ii) While inheriting, the private members of the base class will never become the members of its derived class.","True, False","False,True","True,True","False,False","True, False",memory,medium
"In inheritance, order of execution of base class and derived class destructors are:",Base to derived,Derived to base,ÿRandom order,None of the above,None of the above,memory,hard
What is the difference between protected and private access specifiers in inheritance?,Private member is not inheritable and not accessible in derived class.,Protected member is inheritable and also accessible in derived class.,Both are inheritable but private is accessible in the derived class.,Both are inheritable but protected is not accessible in the derived class.,Protected member is inheritable and also accessible in derived class.,memory,easy
Which value is placed in the base class?,ÿDerived values,Default type values,Both A & B,None of the mentioned,Default type values,memory,medium
The friend functions and the member functions of a friend class can directly access the______________ data.,Private and protected,Private and public,Protected and public,"Private, protected and public",Private and protected,fill ups,easy
"What will be the order of execution of base class constructors in the following method of inheritance. class a: public b, virtual public c {...};",b(); c(); a();,ÿc(); b(); a();,ÿa(); b(); c();,b(); a(); c();,ÿc(); b(); a();,understanding,medium
"class X, class Y and class Z are derived from class BASE. This is ______ inheritance.",multiple,Multilevel Inheritance,hierarchial,single,hierarchial,memory,easy
ÿReusability of the code can be achieved in CPP through ______ .,Polymorphism,Encapsulation,Inheritance,Both A and C,Inheritance,memory,easy
"What will be the output of the following program?

         
Note:Includes all required header files
class find {
public:
   void print()  { cout <<"" In find""; }
};
  
class course : public find {
public:
   void print() { cout <<"" In course""; }
};
  
class tech: public course { };
  
int main(void)
{
  tech t; 
  t.print();
  return 0;
}",In find,In course,Compiler Error: Ambiguous call to print(),None of the above,In course,example,hard
Which symbol is used to create multiple inheritance?,Dot,Comma,Dollar,None of these,Comma,memory,hard
"27.ÿ___________ inheritance may lead to duplication of inherited members from a ""grandparent"" base class.",Multipath,Multiple,Multilevel,Hierarchical Inheritance,Multipath,fill ups,medium
ÿC++ Inheritance relationship is?,association,Is-A,Has-A,None of these ,Is-A,understanding,easy
Private members of the class are not inheritable.,TRUE,FALSE,Maybe,Can't say,FALSE,understanding,medium
What does inheriatance allows you to do?,create a class,create a hierarchy of classes,access methods,None of the mentioned,create a hierarchy of classes,understanding,easy
What is the syntax of inheritance of class?,class name,class name : access specifer,class name : access specifer class name,class name : access specifer class name,class name : access specifer class name,memory,easy
